Ticker,Description,Open,High,Low,Price,Volume,Sector,Industry,Market Capitalization,Shares Float
DIZ,"DIZON COPPER SILVER MINES, INC",3,3,3,3,35000,Non-Energy Minerals,Other Metals/Minerals,237262459,76642430.85
REG,REPUBLIC GLASS HOLDINGS CORP,3,3,3,3,50000,Finance,Investment Banks/Brokers,2046197021,
SLI,"STA. LUCIA LAND, INC.",2.95,2.96,2.95,2.96,4000,Finance,Real Estate Development,24261492891,1493557119
DITO,DITO CME HOLDINGS CORPORATION,2.95,3.06,2.91,2.95,2057000,Finance,Financial Conglomerates,41403250669,1344581070
LPZ,LOPEZ HOLDINGS CORPORATION,2.95,2.95,2.95,2.95,512000,Utilities,Alternative Power Generation,13399781760,1330094455.2
WEB,PHILWEB CORPORATION,2.84,2.84,2.74,2.82,4732000,Technology Services,Internet Software/Services,3376532015,265624481.497452
HOME,ALLHOME CORP.,2.8,2.94,2.73,2.75,251000,Retail Trade,Specialty Stores,10312500671,1209892500
LR,LEISURE & RESORTS WORLD CORP.,2.78,2.88,2.68,2.73,6752000,Consumer Services,Movies/Entertainment,6601725903,843873409.4735
AXLM,AXELUM RESOURCES CORP.,2.76,2.8,2.65,2.79,1016000,Consumer Non-Durables,Food: Major Diversified,10597551249,2834282380.16
CPM,CENTURY PEAK HLDGS CORP,2.69,2.69,2.69,2.69,25000,Non-Energy Minerals,Other Metals/Minerals,7586689385,587029126.86
CLI,"CEBU LANDMASTERS, INC.",2.64,2.7,2.62,2.66,574000,Finance,Real Estate Development,9217436064,942115110.8
VMC,"VICTORIAS MILLING COMPANY, INC",2.6,2.6,2.6,2.6,2000,Process Industries,Agricultural Commodities/Milling,7129331135,545015342.1
PCOR,PETRON CORPORATION,2.5,2.54,2.46,2.49,154000,Energy Minerals,Oil Refining/Marketing,23344007843,2516126838.4
SHNG,"SHANG PROPERTIES, INC.",2.5,2.54,2.5,2.54,17000,Consumer Durables,Homebuilding,12095271459,1132332682.34745
PRMX,PRIMEX CORPORATION,2.48,2.48,2.26,2.27,22000,Finance,Real Estate Development,3771983486,399392354.5200001
TECH,CIRTEK HOLDINGS PHILS. CORP.,2.45,2.45,2.41,2.44,242000,Electronic Technology,Semiconductors,1631154186,378644472.424
PX,PHILEX MINING CORPORATION,2.33,2.35,2.3,2.31,604000,Non-Energy Minerals,Precious Metals,13357341188,3256185088
ABA,"ABACORE CAPITAL HOLDINGS, INC.",2.25,2.39,2.23,2.36,17397000,Non-Energy Minerals,Precious Metals,9878804992,2083538285.64
FNI,GLOBAL FERRONICKEL HOLDINGS,2.2,2.24,2.16,2.24,801000,Non-Energy Minerals,Construction Materials,11628615518,2856353448.9
MEG,MEGAWORLD CORPORATION,2.12,2.12,2.06,2.08,15978000,Finance,Real Estate Development,65528805096,9650177518.8
CREIT,CITICORE ENERGY REIT CORP,1.99,2.03,1.98,1.99,19429000,Finance,Real Estate Investment Trusts,13025500000,2176906729.01233
PA,"PACIFICA HOLDINGS, INC.",1.82,1.82,1.82,1.82,20000,Non-Energy Minerals,Precious Metals,591499978,325000000
SPM,SEAFRONT RESOURCES CORPORATION,1.81,1.81,1.78,1.78,18000,Miscellaneous,Miscellaneous,290139995,
MFIN,MAKATI FINANCE CORPORATION,1.8,1.8,1.8,1.8,1000,Finance,Finance/Rental/Leasing,484710687,222094671.84
ASLAG,RASLAG CORP,1.76,1.76,1.71,1.73,370000,Utilities,Alternative Power Generation,,
VLL,"VISTA LAND & LIFESCAPES, INC.",1.73,1.74,1.67,1.73,129000,Finance,Real Estate Development,20666232201,2911655343.88411
ACE,ACESITE (PHILS.) HOTEL CORP.,1.65,1.65,1.65,1.65,5000,Consumer Services,Hotels/Resorts/Cruise lines,568833413,
KPPI,"KEPWEALTH PROPERTY PHILS., INC.",1.65,1.99,1.65,1.99,3000,Finance,Real Estate Development,400104630,200760032.044
PRIM,"PRIME MEDIA HOLDINGS, INC.",1.59,1.61,1.56,1.61,2983000,Finance,Financial Conglomerates,1127480828,
GREEN,GREENERGY HOLDINGS INC.,1.57,1.6,1.56,1.6,17174000,Electronic Technology,Computer Processing Hardware,4161245764.999999,479963545.88000005
CROWN,CROWN ASIA CHEMICALS CORP,1.53,1.56,1.52,1.56,34000,Process Industries,Chemicals: Specialty,952596769,490197784.9180001
VREIT,VISTAREIT INC,1.53,1.54,1.5,1.53,41000,Finance,Real Estate Investment Trusts,11475000000,2880825000
DWC,DISCOVERY WORLD CORPORATION,1.52,1.53,1.4,1.5,72000,Consumer Services,Hotels/Resorts/Cruise lines,1281000000,618588068
SSP,SFA SEMICON PHILIPPINES CORPORATION,1.49,1.51,1.4,1.45,2148000,Electronic Technology,Semiconductors,3102298466,304025792
APX,"APEX MINING COMPANY, INC.",1.43,1.45,1.42,1.43,538000,Non-Energy Minerals,Precious Metals,8112038465,1312488896.5335798
BKR,BRIGHT KINDLE RESOURCES,1.38,1.38,1.3,1.3,21000,Finance,Finance/Rental/Leasing,1987016126,1496654896.95
SSI,"SSI GROUP, INC.",1.36,1.37,1.36,1.37,587000,Retail Trade,Apparel/Footwear Retail,4518819588,953273474.1
MRSGI,"METRO RETAIL STORES GROUP, INC.",1.36,1.39,1.36,1.39,73000,Retail Trade,Food Retail,4568193212,460684218.72
LOTO,PACIFIC ONLINE SYSTEMS CORP.,1.34,1.45,1.34,1.45,24000,Consumer Durables,Recreational Products,1225052772,353815532.076544
IMP,"IMPERIAL RESOURCES, INC.",1.34,1.34,1.07,1.07,12000,Non-Energy Minerals,Other Metals/Minerals,698174969,330576727.5
MARC,MARCVENTURES,1.32,1.32,1.29,1.29,224000,Technology Services,Internet Software/Services,3889118088,839787155.46
ROCK,ROCKWELL LAND CORPORATION,1.31,1.31,1.31,1.31,186000,Consumer Durables,Homebuilding,8012958141,763738653.6
DDMPR,"DDMP REIT, INC.",1.2,1.21,1.19,1.2,774000,Finance,Real Estate Investment Trusts,21392961006,5936628810
SPNEC,SOLAR PHILIPPINES NUEVA ECIJA CORPO,1.19,1.21,1.16,1.19,20485000,Industrial Services,Engineering & Construction,11900000572,3644757128.1103506
TUGS,HARBOR STAR SHIPPING SERVICES,1.18,1.22,1.18,1.18,1028000,Transportation,Marine Shipping,1055612546.0000002,280930733.958
MJC,"MANILA JOCKEY CLUB, INC.",1.17,1.17,1.17,1.17,2000,Consumer Services,Casinos/Gaming,1748262581,462822909.12
BEL,BELLE CORPORATION,1.15,1.15,1.13,1.14,559000,Finance,Real Estate Development,9780686655,4227265383.35306
MM,MERRYMART CONSUMER CORP.,1.13,1.13,1.1,1.12,235000,Retail Trade,Food Retail,8506328942,1579360178.06
C,CHELSEA LOGISTICS AND INFRASTRUCTURE HOLDINGS CORP.,1.11,1.14,1.1,1.13,46000,Transportation,Marine Shipping,2058834748.0000005,544238179.8599999
KEEPR,THE KEEPERS HOLDINGS INC,1.11,1.11,1.08,1.08,576000,Distribution Services,Food Distributors,15669450623,3020471001.6
ARA,"ARANETA PROPERTIES, INC.",1.08,1.12,1.08,1.12,12000,Finance,Real Estate Development,2185553955,587834772.21
FRUIT,"FRUITAS HOLDINGS, INC.",1,1.03,1,1.02,917000,Retail Trade,Food Retail,2176353490,766885131.9200001
SUN,SUNTRUST RESORT HOLDINGS INC,0.97,0.97,0.97,0.97,9000,Finance,Real Estate Development,7032500207,1041542250
TCB2A,CIRTEK HOLDINGS PHILIPPINES CORPORATION PREFERRED B-2 SUBSERIES A SHARES,0.96,0.96,0.96,0.96,1100,Electronic Technology,Semiconductors,1631154186,378644472.424
INFRA,PHILIPPINE INFRADEV HOLDINGS INC.,0.91,0.96,0.91,0.93,307000,Finance,Real Estate Development,5637251352,1121097645.12
ROX,"ROXAS HOLDINGS, INC.",0.9,0.92,0.9,0.92,25000,Process Industries,Agricultural Commodities/Milling,1424100954,1546108786.98
NOW,NOW CORPORATION,0.9,0.91,0.9,0.9,290000,Communications,Major Telecommunications,1626053643,549571131.4
HTI,HAUS TALK INC,0.87,0.88,0.81,0.88,81000,Finance,Real Estate Development,2200000000,650000000
CTS,CTS GLOBAL EQUITY GROUP INC,0.84,0.85,0.83,0.84,746000,Finance,Investment Banks/Brokers,5775000000,1335001250
GERI,"GLOBAL-ESTATE RESORTS, INC.",0.83,0.83,0.83,0.83,1000,Finance,Real Estate Development,9118379817,1645538010
VUL,VULCAN INDUSTRIAL & MINING,0.83,0.83,0.81,0.81,901000,Non-Energy Minerals,Construction Materials,1174500003,574537850
ACR,ALSONS CONSOLIDATED RESOURCES,0.83,0.83,0.81,0.81,35000,Utilities,Electric Utilities,5096115015,1259854000.5
PHR,"PH RESORTS GROUP HOLDINGS, INC.",0.82,0.85,0.79,0.81,459000,Consumer Services,Hotels/Resorts/Cruise lines,5898433860,1632468679.56
EURO,"EURO-MED LABORATORIES PHILS.,",0.81,0.82,0.81,0.82,2000,Health Technology,Medical Specialties,3371955283,485438127
NI,NIHAO MINERAL RESOURCES INT`L,0.81,0.81,0.81,0.81,73000,Non-Energy Minerals,Other Metals/Minerals,818100002,1009996970
MAH,METRO ALLIANCE CORP. A,0.81,0.82,0.72,0.72,9000,Commercial Services,Miscellaneous Commercial Services,210612240,
SGI,"SOLID GROUP, INC.",0.79,0.79,0.79,0.79,70000,Distribution Services,Electronics Distributors,1439018213,372798197.94
FLI,"FILINVEST LAND, INC.",0.78,0.79,0.78,0.78,768000,Finance,Real Estate Development,18914811923,7981336674
IDC,ITALPINAS DEVELOPMENT CORPORATION,0.78,0.78,0.73,0.76,620000,Finance,Real Estate Development,478472272,
MEDIC,MEDILINES DISTRIBUTORS INCORPORATED,0.77,0.78,0.73,0.78,6034000,Distribution Services,Medical Distributors,2145000493,2421845954.5368
BRN,"A BROWN COMPANY, INC.",0.75,0.75,0.75,0.75,11000,Producer Manufacturing,Trucks/Construction/Farm Machinery,1779275940,2366291988.0600004
V,"VANTAGE EQUITIES, INC.",0.73,0.73,0.73,0.73,5000,Commercial Services,Miscellaneous Commercial Services,3065694963,1414351350.72
LAND,"CITY & LAND DEVELOPERS, INC.",0.71,0.75,0.71,0.74,143000,Finance,Real Estate Development,1112496972,151338244.42
I,"I-REMIT, INC.",0.71,0.71,0.71,0.71,17000,Finance,Regional Banks,434263747,610723988.056
CDC,CITYLAND DEVELOPMENT CORP.,0.69,0.69,0.69,0.69,1000,Finance,Real Estate Development,3350033880,1051361670.6400002
NRCP,NATIONAL REINSURANCE CORP.,0.68,0.69,0.68,0.69,2000,Finance,Property/Casualty Insurance,1465287937,1459352386.348
CHP,"CEMEX HOLDINGS PHILIPPINES, INC.",0.67,0.69,0.67,0.67,149000,Non-Energy Minerals,Construction Materials,9037782022,2958626703.6
BALAI,BALAI NI FRUITAS INC,0.66,0.68,0.64,0.66,2450000,Retail Trade,Food Retail,,
ORE,ORIENTAL PENINSULA RES GROUP,0.66,0.66,0.66,0.66,10000,Non-Energy Minerals,Other Metals/Minerals,1899810075,1199505492
MAHB,METRO ALLIANCE CORP. B,0.64,0.64,0.64,0.64,1000,Commercial Services,Miscellaneous Commercial Services,210612240,
APO,ANGLO PHILIPPINE HOLDINGS CORP,0.63,0.64,0.63,0.64,39000,Non-Energy Minerals,Construction Materials,1922113707,62120257.2000002
FCG,FIGARO COFFEE GROUP INC,0.62,0.62,0.59,0.6,3918000,Consumer Services,Restaurants,,
FAF,FIRST ABACUS FIN. HLDGS CORP.,0.62,0.62,0.62,0.62,3000,Finance,Investment Banks/Brokers,633507559,1021774138.5632
